id,nombre_comercial,razon_social,codigo_actividad,nombre_actividad,entidad,municipio,localidad,telefono,email,sitio_web,estrato_personal
12222,BODEGA RAMIREZ,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499143388.0,BODEGARMZ@LIVEMAIL.COM,,11 A 30 PERSONAS
9333724,BODEGAS BONART,BODEGAS BONART,431212,COMERCIO AL POR MAYOR DE VINOS Y LICORES,AGUASCALIENTES,JESÚS MARÍA,CORRAL DE BARRANCOS,4494962242.0,VENTAS@BODEGASBONART.COM,WWW.BODEGASBONART.COM,0 A 5 PERSONAS
9815343,CARNES TORO DE ORO,CARNES TORO DE ORO,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,PASEOS DE AGUASCALIENTES,4491026817.0,VENTASTORODEORO@GMAIL.COM,,11 A 30 PERSONAS
10894924,CARNICERIA EL TECUAN,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4495113790.0,CARNESELTECUAN@GMAIL.COM,,6 A 10 PERSONAS
12334812,CARNICERIA GONGUZ,BEEF GYG,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491109523.0,RECLUTAMIENTOGONGUZ@GMAIL.COM,,51 A 100 PERSONAS
8593322,CARNICERIA MEAT CARNES,PRODUCTORA DE CARNES R EL CAPRICHO,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4492511582.0,FACTURAS.ELCAPRICHO@GMAIL.COM,,11 A 30 PERSONAS
11617644,CARNICERIA RANCHO VIEJO,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4493875492.0,RANCHOVIEJO.CARNI@GMAIL.COM,,0 A 5 PERSONAS
10602543,CARNICOS MONTERREY,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4496026092.0,CARNICOSMONTERREYAGS@GMAIL.COM,,11 A 30 PERSONAS
12235,CASA VAZQUEZ,,431180,COMERCIO AL POR MAYOR DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499121200.0,CASAVAZQUES@HOTMAIL.COM,,0 A 5 PERSONAS
10631839,CASATORRE,OVEU,431212,COMERCIO AL POR MAYOR DE VINOS Y LICORES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,3315997032.0,GERECIA.AGS@OUTLOOK.COM,,0 A 5 PERSONAS
12008,CEBOLLAS DE SANTOS,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499963713.0,JESUSDESANTOS3@HOTMAIL.COM,,11 A 30 PERSONAS
12257,CENTRAL CAMOTERA EL PROFE,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4925446194.0,GUILLERMOMN16@GMAIL.COM,,0 A 5 PERSONAS
11693106,CHE B STORE,MILACO,431213,COMERCIO AL POR MAYOR DE CERVEZA,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4491555270.0,DIRECCION@CH-B.MX,CH-BSTORE.MX,6 A 10 PERSONAS
39619,COMERCIALIZADORA CARNE SELECTA LA ESPUELA DE AGUASCALIENTES,CARNE SELECTA LA ESPUELA DE AGUASCALIENTES,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499110299.0,FACTURACUIONCSE@YAHOO.COM,,0 A 5 PERSONAS
11574298,COMERCIALIZADORA CEDILLO,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491527954.0,PEPE_CEDILLO@HOTMAIL.COM,,6 A 10 PERSONAS
11596035,COMERCIALIZADORA DE GALLETAS SARITA,,431191,COMERCIO AL POR MAYOR DE PAN Y PASTELES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492110804.0,JORGEHERTO@HOTMAIL.COM,,6 A 10 PERSONAS
10304918,COMERCIALIZADORA KIME,,431150,"COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS ALIMENTICIOS, ESPECIAS Y CHILES SECOS",AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492664434.0,IP_KIME@HOTMAIL.COM,,6 A 10 PERSONAS
6282084,COMERCIALIZADORA MEXICANA DE LEGUMBRES,COMERCIALIZADORA MEXICANA DE LEGUMBRES,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,ASIENTOS,CIÉNEGA GRANDE,4491910966.0,AMERICA@COMELESA.COM,,6 A 10 PERSONAS
12335312,COMERCIALIZADORA SEIS RAICES,COMERCIALIZADORA SEIS RAICES,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,CALVILLO,LOS PATOS,4491240277.0,COMERCIALIZADORASEISRAICES@GMAIL.COM,,6 A 10 PERSONAS
39916,COMERCIALIZADORA Y EMPACADORA LIS,COMERCIALIZADORA Y EMPACADORA LIS,431150,"COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS ALIMENTICIOS, ESPECIAS Y CHILES SECOS",AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499123977.0,PASTASDISTRIBUCIONES@LIVE.COM.MX,,11 A 30 PERSONAS
6252563,CREMERIA LA ESTACION DE LUPITA,,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,PABELLÓN DE ARTEAGA,RANCHO ALEGRE,4651131228.0,ESTACION_LUPITA@HOTMAIL.COM,,51 A 100 PERSONAS
15657,CREMERIA LA TROJE BODEGA,,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491193000.0,ELGALLO58@HOTMAIL.COM,,0 A 5 PERSONAS
10442694,DISTRIBUCIONES ROMO,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491378927.0,DISTRIBUCIONESROMO@HOTMAIL.COM,,11 A 30 PERSONAS
6280907,DISTRIBUIDORA DE CARNES SANTA MARIA,,431122,COMERCIO AL POR MAYOR DE CARNE DE AVES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491543362.0,CHA_LEV@HOTMAIL.COM,,0 A 5 PERSONAS
11841786,DISTRIBUIDORA DE PESCADOS Y MARISCOS,,431123,COMERCIO AL POR MAYOR DE PESCADOS Y MARISCOS,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4494873913.0,ATORRESNORMA@GMAIL.COM,,11 A 30 PERSONAS
49353,DISTRIBUIDORA PROVELAC,,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,JESÚS MARÍA,PASEOS DE AGUASCALIENTES,4491038295.0,PROVELAC@YAHOO.COM.MX,WWW.PROVELAC.COM,0 A 5 PERSONAS
6282450,EMBUTIDOS CORONA,EMBUTIDOS CORONA,431170,COMERCIO AL POR MAYOR DE EMBUTIDOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,3334678724.0,JORGEJAUREGUI@EMBUTIDOSCORONA.COM.MX,WWW.EMBUTIDOSCORONA.OM.MX,51 A 100 PERSONAS
9938771,FLORETA,FLORETA,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491556296.0,ADMINISTRACION@FLORETA.COM.MX,,11 A 30 PERSONAS
34043,FRANCO SOLO CALIDAD,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4497187626.0,ADMONFSC@HOTMAIL.COM,,6 A 10 PERSONAS
24378,FRESAS MULOZA,JOAQUIN MUÑOZ,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4493293889.0,JOAQUIN94FRESAS@GMAIL.COM,,6 A 10 PERSONAS
10874,FRUTAS FINAS VALENCIANO,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491073992.0,MOYVALENCIANO@HOTMAIL.COM,,6 A 10 PERSONAS
12022,FRUTAS SAN NICOLAS,FRUTAS SAN NICOLAS,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499141109.0,SNOLB@YAHOO.COM.MX,,6 A 10 PERSONAS
9016,FRUTAS Y LEGUMBRES DIKA,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499303748.0,DJAVIER227@YAHOO.COM,,0 A 5 PERSONAS
12044,FRUTAS Y VERDURAS MLL,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499141475.0,MANUELLOERAL@HOTMAIL.COM,,6 A 10 PERSONAS
6905399,GARAMPIÑADOS Y BOTANAS MUÑOZ,,431192,COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492425449.0,CACAHUATESMUNOZ@GMAIL.COM,,6 A 10 PERSONAS
10070632,GRUPO CARNINICO JIMENEZ,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,SAN FRANCISCO DE LOS ROMO,4492727369.0,GRUPOCARNICOJMZ@GMAIL.COM,,0 A 5 PERSONAS
9968535,GRUPO COMERCIAL COMMARS,SOCIEDA DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,431191,COMERCIO AL POR MAYOR DE PAN Y PASTELES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492773395.0,GCCOMMARS@OUTLOOK.COM,,0 A 5 PERSONAS
11552130,GRUPO COMPLELAC,,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4495659170.0,COMLELAC@HOTMAIL.COM,WWW.COMPLELAC.COM.MX,6 A 10 PERSONAS
12019,GUZMAN HERMANOS,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499142537.0,GUZMANHNOS@HOTMAIL.COM,,6 A 10 PERSONAS
11673642,HELADOS DE CALIDAD,,431199,COMERCIO AL POR MAYOR DE OTROS ALIMENTOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499010039.0,GALOIMT@PRODIGY.NET.MX,,0 A 5 PERSONAS
10858,IBARRA HERMANOS,RICARDO IBARRA,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499141788.0,IBARRAPR5@HOTMAIL.COM,,11 A 30 PERSONAS
9095,IMPORTADORA SERVICARNES,IMPORTADORA SERVICARNES,431122,COMERCIO AL POR MAYOR DE CARNE DE AVES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4494342565.0,SERVICARNES_AGS@YAHOO.COM.MX,,6 A 10 PERSONAS
12003,LA 300,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491530953.0,FACTURASLA300@HOTMAIL.COM,,0 A 5 PERSONAS
36058,LA BALANZA DE ALTAMIRA,LA BALANZA DE ALTAMIRA,431180,COMERCIO AL POR MAYOR DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499745743.0,LABALANZADEALTAMIRA@HOTMAIL.COM,,6 A 10 PERSONAS
6281495,LA GRANJA DE MANOLO,PRODUCTOS PECUARIOS LA TRINIDAD,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4498040122.0,CONTACTO@LAGRANJADEMANOLO.COM,WWW.LAGRANJADM.COM.MX,11 A 30 PERSONAS
11375869,LA PAPERIA DE ESTRADA,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4492734100.0,LAPAPERIADEESTRADA@GMAIL.COM,,6 A 10 PERSONAS
6814451,LACTOPRODUCTOS LA LOMA,LACTOPRODUCTOS LA LOMA,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,JESÚS MARÍA,PASEOS DE AGUASCALIENTES,4491964331.0,IDIAZ@LA-LOMA.COM.MX,WWW.LALOMA.COM.MX,11 A 30 PERSONAS
11538844,LAVADO DE VICERAS DE RES,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,JESÚS GÓMEZ PORTUGAL (MARGARITAS),4495262503.0,CARNESYVICERASMONOZ@GMAIL.COM,,11 A 30 PERSONAS
9935279,LOGISTICA ARTEGO,LOGISTICA ARTEGO,431199,COMERCIO AL POR MAYOR DE OTROS ALIMENTOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491064649.0,HOLA@ARTEGOMX.COM,,11 A 30 PERSONAS
6359497,LOS RANCHEROS COMERCIALIZADORA,LOS RANCHEROS COMERCIALIZADORA,431150,"COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS ALIMENTICIOS, ESPECIAS Y CHILES SECOS",AGUASCALIENTES,PABELLÓN DE ARTEAGA,PABELLÓN DE ARTEAGA,4659555017.0,SCOLLAZO@LOSRANCHEROS.COM.MX,WWW.LOSRANCHEROS.COM.MX,11 A 30 PERSONAS
10736958,MAGNOLIA FOODS,CLAUDIO HERNANDEZ,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499112814.0,ALMACEN@TERRAZAITALIANA.MX,,6 A 10 PERSONAS
10562190,MAIX MEXICO,MAIX PAKIK MEXICO,431192,COMERCIO AL POR MAYOR DE BOTANAS Y FRITURAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4493294394.0,MAIXMEXICO@GMAIL.COM,,0 A 5 PERSONAS
12312,MATERIAS PRIMAS LA UNICA,COMERCIALIZADORA DE MATERIAS PRIMAS DE AGUASCALIENTES,431180,COMERCIO AL POR MAYOR DE DULCES Y MATERIAS PRIMAS PARA REPOSTERÍA,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4494873708.0,UNICACEL_JRL@PRODIYI.NET.MX,,6 A 10 PERSONAS
26728,MAX-MAX TIENDA DE ABARROTES,,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,ASIENTOS,VILLA JUÁREZ,4961201854.0,VILLAABARROTES2011@HOTMAIL.COM,ABAROTES-MAXMAX.COM.MX,11 A 30 PERSONAS
6905990,MICHAL,MICHAL,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491224524.0,COMERCIALIZADORAMICHAL@GMAIL.COM,,11 A 30 PERSONAS
10280773,MR LUCKY AGUCATES FRUTAS FINAS Y VERDURAS,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,JESÚS MARÍA,PASEOS DE AGUASCALIENTES,4499123049.0,FRUFINAR@GMAIL.COM,,0 A 5 PERSONAS
6281886,MULTICOMERCIALIZADORA ASTRAL,MULTICOMERCIALIZADORA ASTRAL,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4498909658.0,CAMILOBARBAG@HOTMAIL.COM,,0 A 5 PERSONAS
1941,OBRADOR LAS NUVES,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,CORRAL DE BARRANCOS,4491175188.0,OBRADOR_LASNUBES@OUTLOOK.COM,,6 A 10 PERSONAS
39754,OBRADOR M3,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499123209.0,OFICINACARNESM3@GMAIL.COM,,6 A 10 PERSONAS
10846,PALOMIHNOS,PALOMIHNOS,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4495135286.0,PALOMINOHNSO7@HOTMAIL.COM,,11 A 30 PERSONAS
7666842,POLLOS MARIO,POLLOS MARIO,431122,COMERCIO AL POR MAYOR DE CARNE DE AVES,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4494411027.0,POLLOSMARIO@HOTMAIL.COM,,0 A 5 PERSONAS
10609731,PRODUCTOS DE CONSUMO HUYCES COMERCIAL,PRODUCTOS DE CONSUMO HUYCES COMERCIAL,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4928994641.0,VENTAS@HUYCES.COM.MX,,0 A 5 PERSONAS
10654084,PRODUCTOS DEL CAMPO MONTE HEBRON,PRODUCTOS DEL CAMPO MONTE HEBRON,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,PEÑUELAS (EL CIENEGAL),4499685797.0,AGROSA@GMAIL.MX,WWW.AGROSA.MX,0 A 5 PERSONAS
11067024,RABIT IMPULSORA DE NEGOCIOS,RABIT IMPULSOR DE NEGOCIOS,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,5544947008.0,JOSE.MENDOZA@RABIT.COM,WWW.RABIT.COM,6 A 10 PERSONAS
9392128,SEMILLAS Y CEREALES EL CIPRES,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4495808959.0,DAVID_GALLARDO1227@OUTLOOK.COM,,6 A 10 PERSONAS
49807,SEMILLAS Y CEREALES FRANCO,,431150,"COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS ALIMENTICIOS, ESPECIAS Y CHILES SECOS",AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4491627425.0,GMEDIRU@YAOO.COM.MX,,11 A 30 PERSONAS
49354,SEMILLAS Y SERVICIOS TECNICOS,SEMILLAS Y SERVICIOS TECNICOS,431150,"COMERCIO AL POR MAYOR DE SEMILLAS Y GRANOS ALIMENTICIOS, ESPECIAS Y CHILES SECOS",AGUASCALIENTES,JESÚS MARÍA,PASEOS DE AGUASCALIENTES,4491062261.0,CONTABILIDAD@SEMILLASYSERVICIOS.COM,,0 A 5 PERSONAS
11416105,SUPLADE,SUPLADE,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,JESÚS MARÍA,EL LLANO,4491227513.0,ALIMENTOSDELGADO@HOTMAIL.COM,,6 A 10 PERSONAS
6765781,TAE GLOBAL FOODS,TAE GLOBAL FOODS,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4499140073.0,PLEAL@TEEGF.COM.MX,WWW.TAEGLOBALFOODS.COM.MX,0 A 5 PERSONAS
9281018,TECNOLOGIA Y APLICACIONES ALIMENTARIAS,TECNOLOGIA Y APLICACIONES ALIMENTARIAS,431160,COMERCIO AL POR MAYOR DE LECHE Y OTROS PRODUCTOS LÁCTEOS,AGUASCALIENTES,JESÚS MARÍA,JESÚS MARÍA,4491112188.0,CONTACTO@TAASA.COM.MX,WWW.TAASATSC.COM.MX,11 A 30 PERSONAS
6281459,TIENDA DE ABARROTES CENTRAL DE BASICOS DE AGUASCALIENTES,CENTRAL DE BASICOS DE AGUASCALIENTES,431110,COMERCIO AL POR MAYOR DE ABARROTES,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4493662056.0,CENTRALDEBASICOS@GMAIL.COM,,6 A 10 PERSONAS
10852,TOMATERA 45,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491227762.0,IMAER@HOTMAIL.COM,,0 A 5 PERSONAS
10889,TOMATERA EL ZARCO,,431130,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,4491873540.0,RESIRESIAGS@HOTMAIL.COM,,0 A 5 PERSONAS
8567782,VENTA DE PRODUCTOS CARNICOS COMPROMAR,,431121,COMERCIO AL POR MAYOR DE CARNES ROJAS,AGUASCALIENTES,JESÚS MARÍA,SAN MARCOS (CENTRAL DE ABASTOS) [VIÑEDOS],4493522710.0,COMPRAMART@HOTMAIL.COM,,0 A 5 PERSONAS
